11/23/22 14:58:24 AscImageTM Offset=382347, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=384370, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=386393, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=388416, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=390439, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=392462, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=394485, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=396508, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=398531, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=400554, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=402577, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=404600, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=406623, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=408646, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=410669, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=412692, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=414715, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=416738, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=418761, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=420784, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=422807, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=424830, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=426853, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=428876, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=430899, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=432922, Size=2023  
11/23/22 14:58:24 AscImageTM Offset=434945, Size=1413  
11/23/22 14:58:24 AscTCVerTM Execution success, ID:0xff91, Seq:4152  
11/23/22 14:58:24 AscTCVerTM Acceptance success, ID:0xff91, Seq:4157  
11/23/22 14:58:24 AscTCVerTM Execution success, ID:0xff91, Seq:4157  
11/23/22 14:58:24 AscTCVerTM Execution success, ID:0x1f91, Seq:14853  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:3  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:3  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:3  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:1  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:2  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:3  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:4  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:7  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:8  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:9  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:10  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:11  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:12  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:13  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:14  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:15  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:17  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:14853  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0x1f91, Seq:16  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:3  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:1  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:2  
